Loss: 141.2556, Primary Loss: 141.2406, Reg Loss: 0.0150
Loss: 146.6857, Primary Loss: 146.6698, Reg Loss: 0.0159
Loss: 172.7308, Primary Loss: 172.7153, Reg Loss: 0.0155
Loss: 151.2710, Primary Loss: 151.2550, Reg Loss: 0.0160
Loss: 156.1399, Primary Loss: 156.1249, Reg Loss: 0.0150
Loss: 175.1286, Primary Loss: 175.1140, Reg Loss: 0.0146
Loss: 148.3129, Primary Loss: 148.3003, Reg Loss: 0.0126
Loss: 171.7810, Primary Loss: 171.7662, Reg Loss: 0.0148
Loss: 147.6852, Primary Loss: 147.6699, Reg Loss: 0.0153
Loss: 154.5086, Primary Loss: 154.4938, Reg Loss: 0.0148
Loss: 144.2301, Primary Loss: 144.2146, Reg Loss: 0.0155
Loss: 92.7827, Primary Loss: 92.7635, Reg Loss: 0.0192
Loss: 180.0532, Primary Loss: 180.0388, Reg Loss: 0.0143
Loss: 155.4884, Primary Loss: 155.4738, Reg Loss: 0.0145
Loss: 137.6911, Primary Loss: 137.6768, Reg Loss: 0.0143
Loss: 116.5902, Primary Loss: 116.5729, Reg Loss: 0.0174
Loss: 164.9311, Primary Loss: 164.9166, Reg Loss: 0.0145
Loss: 152.3397, Primary Loss: 152.3214, Reg Loss: 0.0183
Loss: 170.7967, Primary Loss: 170.7812, Reg Loss: 0.0155
Loss: 141.1315, Primary Loss: 141.1159, Reg Loss: 0.0156
Loss: 165.7199, Primary Loss: 165.7036, Reg Loss: 0.0162
Loss: 159.6547, Primary Loss: 159.6379, Reg Loss: 0.0168
Loss: 119.5180, Primary Loss: 119.5025, Reg Loss: 0.0155
Loss: 122.4991, Primary Loss: 122.4835, Reg Loss: 0.0156
Loss: 167.9142, Primary Loss: 167.8995, Reg Loss: 0.0146
Loss: 133.5103, Primary Loss: 133.4949, Reg Loss: 0.0154
Loss: 138.1491, Primary Loss: 138.1357, Reg Loss: 0.0134
Loss: 152.7385, Primary Loss: 152.7216, Reg Loss: 0.0169
Loss: 134.3600, Primary Loss: 134.3430, Reg Loss: 0.0170
Loss: 133.4424, Primary Loss: 133.4257, Reg Loss: 0.0167
Loss: 133.9439, Primary Loss: 133.9245, Reg Loss: 0.0194
Loss: 126.6083, Primary Loss: 126.5900, Reg Loss: 0.0184
Loss: 164.8409, Primary Loss: 164.8253, Reg Loss: 0.0156
Loss: 94.3992, Primary Loss: 94.3800, Reg Loss: 0.0191
Loss: 125.2782, Primary Loss: 125.2625, Reg Loss: 0.0156
Loss: 142.4753, Primary Loss: 142.4601, Reg Loss: 0.0152
Loss: 150.9143, Primary Loss: 150.8942, Reg Loss: 0.0201
Loss: 145.3830, Primary Loss: 145.3679, Reg Loss: 0.0152
Loss: 140.3239, Primary Loss: 140.3044, Reg Loss: 0.0195
Loss: 120.2434, Primary Loss: 120.2275, Reg Loss: 0.0159
Loss: 166.9091, Primary Loss: 166.8905, Reg Loss: 0.0186
Loss: 154.9633, Primary Loss: 154.9446, Reg Loss: 0.0186
Loss: 143.9362, Primary Loss: 143.9175, Reg Loss: 0.0187
Loss: 131.6356, Primary Loss: 131.6175, Reg Loss: 0.0181
Loss: 142.9315, Primary Loss: 142.9148, Reg Loss: 0.0168
Loss: 133.2195, Primary Loss: 133.2021, Reg Loss: 0.0174
Loss: 124.3461, Primary Loss: 124.3298, Reg Loss: 0.0163
Loss: 153.6437, Primary Loss: 153.6262, Reg Loss: 0.0176
Loss: 151.7923, Primary Loss: 151.7740, Reg Loss: 0.0183
Loss: 125.0842, Primary Loss: 125.0662, Reg Loss: 0.0180
Loss: 152.1320, Primary Loss: 152.1153, Reg Loss: 0.0167
Loss: 147.7173, Primary Loss: 147.6999, Reg Loss: 0.0174
Loss: 105.8423, Primary Loss: 105.8233, Reg Loss: 0.0190
Loss: 127.4006, Primary Loss: 127.3849, Reg Loss: 0.0156
Loss: 128.6872, Primary Loss: 128.6687, Reg Loss: 0.0185
Loss: 129.1221, Primary Loss: 129.1044, Reg Loss: 0.0177
Loss: 125.8451, Primary Loss: 125.8278, Reg Loss: 0.0173
Loss: 141.8094, Primary Loss: 141.7908, Reg Loss: 0.0186
Loss: 121.9030, Primary Loss: 121.8847, Reg Loss: 0.0182
Loss: 105.6168, Primary Loss: 105.5980, Reg Loss: 0.0188
Loss: 140.6222, Primary Loss: 140.6042, Reg Loss: 0.0180
Loss: 134.8061, Primary Loss: 134.7857, Reg Loss: 0.0204
Loss: 119.7975, Primary Loss: 119.7787, Reg Loss: 0.0188
Loss: 135.0308, Primary Loss: 135.0107, Reg Loss: 0.0201
Loss: 132.6325, Primary Loss: 132.6129, Reg Loss: 0.0196
Loss: 124.6303, Primary Loss: 124.6126, Reg Loss: 0.0177
Loss: 136.9996, Primary Loss: 136.9803, Reg Loss: 0.0192
Loss: 140.9725, Primary Loss: 140.9571, Reg Loss: 0.0154
Loss: 140.5797, Primary Loss: 140.5600, Reg Loss: 0.0197
Loss: 135.7455, Primary Loss: 135.7274, Reg Loss: 0.0181
Loss: 126.0117, Primary Loss: 125.9913, Reg Loss: 0.0204
Loss: 144.9255, Primary Loss: 144.9047, Reg Loss: 0.0207
Loss: 143.5453, Primary Loss: 143.5241, Reg Loss: 0.0212
Loss: 169.5549, Primary Loss: 169.5343, Reg Loss: 0.0207
Loss: 134.0708, Primary Loss: 134.0525, Reg Loss: 0.0183
Loss: 133.3918, Primary Loss: 133.3687, Reg Loss: 0.0231
Loss: 164.2948, Primary Loss: 164.2768, Reg Loss: 0.0180
Loss: 112.0273, Primary Loss: 112.0081, Reg Loss: 0.0192
Loss: 133.0240, Primary Loss: 133.0042, Reg Loss: 0.0198
Loss: 129.0605, Primary Loss: 129.0396, Reg Loss: 0.0209
Loss: 101.0344, Primary Loss: 101.0154, Reg Loss: 0.0189
Loss: 146.4367, Primary Loss: 146.4100, Reg Loss: 0.0267
Loss: 137.5047, Primary Loss: 137.4835, Reg Loss: 0.0212
Loss: 124.4096, Primary Loss: 124.3887, Reg Loss: 0.0209
Loss: 129.9624, Primary Loss: 129.9428, Reg Loss: 0.0196
Loss: 149.9338, Primary Loss: 149.9118, Reg Loss: 0.0220
Loss: 121.9240, Primary Loss: 121.8997, Reg Loss: 0.0244
Loss: 153.4377, Primary Loss: 153.4180, Reg Loss: 0.0196
Loss: 132.7391, Primary Loss: 132.7198, Reg Loss: 0.0193
Loss: 142.7646, Primary Loss: 142.7436, Reg Loss: 0.0211
Loss: 124.7256, Primary Loss: 124.7050, Reg Loss: 0.0206
Loss: 137.3489, Primary Loss: 137.3268, Reg Loss: 0.0221
Loss: 128.6006, Primary Loss: 128.5802, Reg Loss: 0.0204
Loss: 116.8834, Primary Loss: 116.8567, Reg Loss: 0.0267
Loss: 116.0337, Primary Loss: 116.0075, Reg Loss: 0.0263
Loss: 141.4653, Primary Loss: 141.4411, Reg Loss: 0.0242
Loss: 148.0513, Primary Loss: 148.0310, Reg Loss: 0.0203
Loss: 125.9052, Primary Loss: 125.8806, Reg Loss: 0.0245
Loss: 124.0573, Primary Loss: 124.0378, Reg Loss: 0.0195
Loss: 123.7697, Primary Loss: 123.7438, Reg Loss: 0.0258
Loss: 122.2333, Primary Loss: 122.2104, Reg Loss: 0.0228
Loss: 109.8567, Primary Loss: 109.8347, Reg Loss: 0.0219
Loss: 124.1490, Primary Loss: 124.1303, Reg Loss: 0.0187
Loss: 145.7929, Primary Loss: 145.7709, Reg Loss: 0.0220
Loss: 137.8833, Primary Loss: 137.8618, Reg Loss: 0.0215
Loss: 118.5358, Primary Loss: 118.5151, Reg Loss: 0.0207
Loss: 127.5857, Primary Loss: 127.5649, Reg Loss: 0.0207
Loss: 160.8509, Primary Loss: 160.8260, Reg Loss: 0.0249
Loss: 146.9872, Primary Loss: 146.9637, Reg Loss: 0.0235
Loss: 128.3304, Primary Loss: 128.3067, Reg Loss: 0.0236
Loss: 134.9523, Primary Loss: 134.9298, Reg Loss: 0.0226
Loss: 135.4637, Primary Loss: 135.4400, Reg Loss: 0.0237
Loss: 101.2523, Primary Loss: 101.2253, Reg Loss: 0.0270
Loss: 99.6433, Primary Loss: 99.6182, Reg Loss: 0.0251
Loss: 112.3300, Primary Loss: 112.3101, Reg Loss: 0.0198
Loss: 139.8272, Primary Loss: 139.8056, Reg Loss: 0.0216
Loss: 130.0985, Primary Loss: 130.0775, Reg Loss: 0.0210
Loss: 132.8435, Primary Loss: 132.8202, Reg Loss: 0.0233
Loss: 143.7926, Primary Loss: 143.7671, Reg Loss: 0.0255
Loss: 130.7341, Primary Loss: 130.7093, Reg Loss: 0.0248
Loss: 129.3277, Primary Loss: 129.3055, Reg Loss: 0.0221
Loss: 127.8621, Primary Loss: 127.8416, Reg Loss: 0.0205
Loss: 111.8633, Primary Loss: 111.8398, Reg Loss: 0.0235
Loss: 117.1920, Primary Loss: 117.1662, Reg Loss: 0.0258
Loss: 127.9602, Primary Loss: 127.9353, Reg Loss: 0.0249
Loss: 142.0896, Primary Loss: 142.0611, Reg Loss: 0.0285
